City,Shop Name,Link,Address
Chieti,Chieti,https://www.d-piu.com/punti-vendita-dpiu/d355-chieti/,"Via Pescara, 223 Chieti 66100 CH"
Fallo,,https://www.d-piu.com/punti-vendita-dpiu/d355-chieti/,
Quadri,Vicenza,https://www.d-piu.com/punti-vendita-dpiu/d120-vicenza/,"Via Quadri, 77 Vicenza 36100 VI"
Ripa Teatina,,https://www.d-piu.com/punti-vendita-dpiu/d120-vicenza/,
Elice,Monselice,https://www.d-piu.com/punti-vendita-dpiu/d164-monselice/,"Via Cà Oddo, 34 H Monselice 35043 PD"
Manoppello,,https://www.d-piu.com/punti-vendita-dpiu/d164-monselice/,
Pescara,Pescara,https://www.d-piu.com/punti-vendita-dpiu/d344-pescara/,"Via Caravaggio, 277 Pescara 65125 PE"
Pescara,Chieti,https://www.d-piu.com/punti-vendita-dpiu/d355-chieti/,"Via Pescara, 223 Chieti 66100 CH"
Pescosansonesco,,https://www.d-piu.com/punti-vendita-dpiu/d344-pescara/,
Pescosansonesco,,https://www.d-piu.com/punti-vendita-dpiu/d355-chieti/,
Silvi,Rosate,https://www.d-piu.com/punti-vendita-dpiu/d251-rosate/,"Via Silvio Pellico, 10 Rosate 20088 MI"
Silvi,Stezzano,https://www.d-piu.com/punti-vendita-dpiu/d367-stezzano/,Via Silvio Pellico Stezzano 24040 BG
Teramo,,https://www.d-piu.com/punti-vendita-dpiu/d251-rosate/,
Teramo,,https://www.d-piu.com/punti-vendita-dpiu/d367-stezzano/,
Acri,Vacri,https://www.d-piu.com/punti-vendita-dpiu/g948-vacri/,"Contrada Capocroce, 56 Vacri 66010 CH"
Amantea,,https://www.d-piu.com/punti-vendita-dpiu/g948-vacri/,
Rose,Latisana,https://www.d-piu.com/punti-vendita-dpiu/d016-latisana/,"Via Crosere, 1 Latisana 33053 UD"
Rose,Sermoneta,https://www.d-piu.com/punti-vendita-dpiu/d069-sermoneta/,"Via delle Rose, 1 Sermoneta 04013 LT"
Rovito,,https://www.d-piu.com/punti-vendita-dpiu/d016-latisana/,
Rovito,,https://www.d-piu.com/punti-vendita-dpiu/d069-sermoneta/,
Arena,Genova - Sampierdarena,https://www.d-piu.com/punti-vendita-dpiu/g546-genova-sampierdarena/,"Via Sampierdarena, 162/182 Genova 16121 GE"
Francica,,https://www.d-piu.com/punti-vendita-dpiu/g546-genova-sampierdarena/,
Vallata,Vittorio Veneto,https://www.d-piu.com/punti-vendita-dpiu/d337-vittorio-veneto/,"Via Vallata, 9 Vittorio Veneto 31029 TV"
Volturara Irpina,,https://www.d-piu.com/punti-vendita-dpiu/d337-vittorio-veneto/,
Ponte,Ponte Buggianese,https://www.d-piu.com/punti-vendita-dpiu/d265-ponte-buggianese/,"Via Camporcioni, snc Ponte Buggianese 51019 PT"
Ponte,Ponte Della Venturina,https://www.d-piu.com/punti-vendita-dpiu/g876-ponte-della-venturina/,"Via Nazionale, 153 Ponte Della Venturina 40046 BO"
Reino,,https://www.d-piu.com/punti-vendita-dpiu/d265-ponte-buggianese/,
Reino,,https://www.d-piu.com/punti-vendita-dpiu/g876-ponte-della-venturina/,
Nola,Vignola,https://www.d-piu.com/punti-vendita-dpiu/d211-vignola/,"Via per Spilamberto, 1557 Vignola 41058 MO"
Ottaviano,,https://www.d-piu.com/punti-vendita-dpiu/d211-vignola/,
Campagna,Sommacampagna,https://www.d-piu.com/punti-vendita-dpiu/d135-sommacampagna/,"Via delle Industrie, 31 Sommacampagna 37066 VR"
Cannalonga,,https://www.d-piu.com/punti-vendita-dpiu/d135-sommacampagna/,
Bologna,Bologna - Via Sthendhal,https://www.d-piu.com/punti-vendita-dpiu/d319-bologna-2/,"Via Sthendhal, 37 Bologna 40123 BO"
Bologna,Bologna Via Berti,https://www.d-piu.com/punti-vendita-dpiu/d038-bologna/,"Via Lodovico Berti, 3A - angolo Via Silvani Bologna 40122 BO"
Borgo Tossignano,,https://www.d-piu.com/punti-vendita-dpiu/d319-bologna-2/,
Borgo Tossignano,,https://www.d-piu.com/punti-vendita-dpiu/d038-bologna/,
Budrio,,https://www.d-piu.com/punti-vendita-dpiu/d370-borgo-tossignano/,
Casalecchio di Reno,Casalecchio di Reno,https://www.d-piu.com/punti-vendita-dpiu/d278-casalecchio-di-reno/,"Via Cimabue, 7 Casalecchio di Reno 40033 BO"
Castel d'Aiano,,https://www.d-piu.com/punti-vendita-dpiu/d278-casalecchio-di-reno/,
Imola,Imola,https://www.d-piu.com/punti-vendita-dpiu/d253-imola/,"Via Goito, snc Imola 40026 BO"
Loiano,,https://www.d-piu.com/punti-vendita-dpiu/d253-imola/,
San Pietro in Casale,San Pietro in Casale,https://www.d-piu.com/punti-vendita-dpiu/d281-san-pietro-in-casale/,"Via Galliera nord, 271 San Pietro in Casale 40018 BO"
Sant'Agata Bolognese,,https://www.d-piu.com/punti-vendita-dpiu/d281-san-pietro-in-casale/,
Zola Predosa,Zola Predosa,https://www.d-piu.com/punti-vendita-dpiu/d110-zola-predosa/,"Via Risorgimento, 86 Zola Predosa 40069 BO"
Argenta,,https://www.d-piu.com/punti-vendita-dpiu/d110-zola-predosa/,
Cento,Tarcento,https://www.d-piu.com/punti-vendita-dpiu/d295-tarcento/,"Via Matteotti, 19 Tarcento 33017 UD"
Cento,Cento,https://www.d-piu.com/punti-vendita-dpiu/d330-cento/,"Via Dante Alighieri, 40/B Cento 44042 FE"
Comacchio,,https://www.d-piu.com/punti-vendita-dpiu/d295-tarcento/,
Comacchio,,https://www.d-piu.com/punti-vendita-dpiu/d330-cento/,
Copparo,,https://www.d-piu.com/punti-vendita-dpiu/d073-s-giuseppe-di-comacchio/,
Ferrara,,https://www.d-piu.com/punti-vendita-dpiu/d216-copparo-2/,
Jolanda di Savoia,,https://www.d-piu.com/punti-vendita-dpiu/d397-santagostino-terre-di-reno/,
Poggio Renatico,Poggio Renatico,https://www.d-piu.com/punti-vendita-dpiu/d268-poggio-renatico/,Via XX Settembre Poggio Renatico 44028 FE
Portomaggiore,,https://www.d-piu.com/punti-vendita-dpiu/d268-poggio-renatico/,
Terre del Reno,,https://www.d-piu.com/punti-vendita-dpiu/g075-portomaggiore/,
Cesena,Cesenatico,https://www.d-piu.com/punti-vendita-dpiu/d243-cesenatico/,"Via Negrelli, 24 Cesenatico 47042 FC"
Cesena,Cesena,https://www.d-piu.com/punti-vendita-dpiu/d403-cesena/,"Via Marzolino, 265 Cesena 47521 FC"
Cesena,Cesena - Via Ponente,https://www.d-piu.com/punti-vendita-dpiu/g034-cesena-2/,"Via Emilia Ponente, 981 Cesena 47521 FC"
Cesenatico,,https://www.d-piu.com/punti-vendita-dpiu/d243-cesenatico/,
Cesenatico,,https://www.d-piu.com/punti-vendita-dpiu/d403-cesena/,
Cesenatico,,https://www.d-piu.com/punti-vendita-dpiu/g034-cesena-2/,
Civitella di Romagna,,https://www.d-piu.com/punti-vendita-dpiu/d243-cesenatico/,
Carpi,Carpignano Sesia,https://www.d-piu.com/punti-vendita-dpiu/d067-carpignano-sesia/,"Via Torino, 48 Carpignano Sesia 28064 NO"
Castelfranco Emilia,,https://www.d-piu.com/punti-vendita-dpiu/d067-carpignano-sesia/,
Fanano,,https://www.d-piu.com/punti-vendita-dpiu/d021-castelfranco-emilia/,
