Store Name,Address,Contact,Latitude,Longitude,Store URL
Pietramelara,"Via San Pasquale . snc, 81051 Pietramelara , CE","08231211734, ",41.27276,14.181592,https://www.pampanorama.it/punti-vendita/pietramelara
Bologna Costa,"Via Andrea Costa, 129, 40134 Bologna , BO","051/6141309, ",44.49530030,11.31480030,https://www.pampanorama.it/punti-vendita/bologna-costa
Bologna San Felice,"Via San Felice, 105, 40121 Bologna , BO","051/0569146, ",44.49810030,11.32839970,https://www.pampanorama.it/punti-vendita/bo-sanfelice
Bologna Zanardi,"Via Bovi Campeggi - angolo Via Zanardi, 40131 Bologna , BO","051 3781342, ",44.50547000,11.33500000,https://www.pampanorama.it/punti-vendita/bologna-zanardi
Bologna Marconi,"Via Marconi, 20, 40122 Bologna , BO","051/236984, ",44.49829870,11.33800030,https://www.pampanorama.it/punti-vendita/pam-local-bologna-marconi
Bologna Via Marconi,"Via Marconi, 28/A, 40122 Bologna , BO","051/520404, ",44.49929810,11.33839990,https://www.pampanorama.it/punti-vendita/bologna-marconi
Bologna IV Novembre,"Via IV Novembre, 16, 40123 Bologna , BO","051/3780738, ",44.49380110,11.33889960,https://www.pampanorama.it/punti-vendita/bologna-novembre
Bologna D'Azeglio,"Via D'Azeglio, 78, 40123 Bologna , BO","051/3780784, ",44.48870090,11.34029960,https://www.pampanorama.it/punti-vendita/pam-local-bologna-azeglio
Bologna Clavature,"Clavature, 17B, 40124 Bologna , BO","051/6100852, ",44.49319840,11.34609990,https://www.pampanorama.it/punti-vendita/pam-local-bologna-clavature
Bologna Strada Maggiore,"Strada Maggiore 15, 40125 Bologna , BO","051 3780798, ",44.49359890,11.34840010,https://www.pampanorama.it/punti-vendita/bologna-strada-maggiore
Bologna S. Stefano,"Via S. Stefano, 29, 40125 Bologna , BO","051/273039, ",44.49129870,11.34910010,https://www.pampanorama.it/punti-vendita/pam-local-bologna-s-stefano
Irnerio,"Via Irnerio, 24, 40126 Bologna , BO","051/253398, ",44.49971010,11.34881690,https://www.pampanorama.it/punti-vendita/bologna-irnerio
