Store Name,Address,Contact,Latitude,Longitude,Store URL,formatted_address,street_number,route,locality,admin_area_3,admin_area_2,admin_area_1,country,country_code,postal_code,latitude,longitude,Shop ID
Pietramelara,"Via San Pasquale . snc, 81051 Pietramelara , CE","08231211734, ",41.27276,14.181592,https://www.pampanorama.it/punti-vendita/pietramelara,"Via S. Pasquale, 88, 81051 Pietramelara CE, Italy",88,Via San Pasquale,Pietramelara,Pietramelara,Provincia di Caserta,Campania,Italy,IT,81051.0,41.2728312,14.1819065,67e2d429c1670104499c1399
Bologna Costa,"Via Andrea Costa, 129, 40134 Bologna , BO","051/6141309, ",44.4953003,11.3148003,https://www.pampanorama.it/punti-vendita/bologna-costa,"Via Montefiorino, 3b, 40134 Bologna BO, Italy",3b,Via Montefiorino,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40134.0,44.4952433,11.31483,67e2d429c1670104499c139e
Bologna San Felice,"Via San Felice, 105, 40121 Bologna , BO","051/0569146, ",44.4981003,11.3283997,https://www.pampanorama.it/punti-vendita/bo-sanfelice,"Via Monaldo Calari, 19/2, 40122 Bologna BO, Italy",19/2,Via Monaldo Calari,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40122.0,44.4979727,11.3279423,67e2d429c1670104499c13a3
Bologna Zanardi,"Via Bovi Campeggi - angolo Via Zanardi, 40131 Bologna , BO","051 3781342, ",44.50547,11.335,https://www.pampanorama.it/punti-vendita/bologna-zanardi,"Bovi Campeggi Questura, 40131 Bologna BO, Italy",,,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40131.0,44.5053829,11.3349821,67e2d429c1670104499c13a8
Bologna Marconi,"Via Marconi, 20, 40122 Bologna , BO","051/236984, ",44.4982987,11.3380003,https://www.pampanorama.it/punti-vendita/pam-local-bologna-marconi,"Via Guglielmo Marconi, 24, 40122 Bologna BO, Italy",24,Via Guglielmo Marconi,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40122.0,44.4983544,11.3379716,67e2d42ac1670104499c13ad
Bologna Via Marconi,"Via Marconi, 28/A, 40122 Bologna , BO","051/520404, ",44.4992981,11.3383999,https://www.pampanorama.it/punti-vendita/bologna-marconi,"Via Guglielmo Marconi, 28E, 40122 Bologna BO, Italy",28E,Via Guglielmo Marconi,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40122.0,44.4993465,11.3384412,67e2d42ac1670104499c13b2
Bologna IV Novembre,"Via IV Novembre, 16, 40123 Bologna , BO","051/3780738, ",44.4938011,11.3388996,https://www.pampanorama.it/punti-vendita/bologna-novembre,"Via Cesare Battisti, 18, 40123 Bologna BO, Italy",18,Via Cesare Battisti,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40123.0,44.49396790000001,11.3388606,67e2d42ac1670104499c13b7
Bologna D'Azeglio,"Via D'Azeglio, 78, 40123 Bologna , BO","051/3780784, ",44.4887009,11.3402996,https://www.pampanorama.it/punti-vendita/pam-local-bologna-azeglio,"Via D'azeglio Massimo, 60, 40123 Bologna BO, Italy",60,Via D'azeglio Massimo,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40123.0,44.4887526,11.3403171,67e2d42ac1670104499c13bc
Bologna Clavature,"Clavature, 17B, 40124 Bologna , BO","051/6100852, ",44.4931984,11.3460999,https://www.pampanorama.it/punti-vendita/pam-local-bologna-clavature,"Via Castiglione, 5, 40124 Bologna BO, Italy",5,Via Castiglione,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40124.0,44.4931212,11.3462125,67e2d42ac1670104499c13c1
Bologna Strada Maggiore,"Strada Maggiore 15, 40125 Bologna , BO","051 3780798, ",44.4935989,11.3484001,https://www.pampanorama.it/punti-vendita/bologna-strada-maggiore,"Str. Maggiore, 20, 40125 Bologna BO, Italy",20,Strada Maggiore,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40125.0,44.4935666,11.3483807,67e2d42ac1670104499c13c6
Bologna S. Stefano,"Via S. Stefano, 29, 40125 Bologna , BO","051/273039, ",44.4912987,11.3491001,https://www.pampanorama.it/punti-vendita/pam-local-bologna-s-stefano,"Via Santo Stefano, 30, 40125 Bologna BO, Italy",30,Via Santo Stefano,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40125.0,44.4913065,11.3491488,67e2d42ac1670104499c13cb
Irnerio,"Via Irnerio, 24, 40126 Bologna , BO","051/253398, ",44.4997101,11.3488169,https://www.pampanorama.it/punti-vendita/bologna-irnerio,"Via del Borgo di S. Pietro, 43, 40126 Bologna BO, Italy",43,Via del Borgo di San Pietro,Bologna,Bologna,Città Metropolitana di Bologna,Emilia-Romagna,Italy,IT,40126.0,44.4996577,11.3488651,67e2d42ac1670104499c13d0
